,h3_05,worldpop2023_sum,adj_at_least_one,adj_exposed_airpol15_pop,adj_exposed_heat32_pop,adj_exposed_drought20_pop,adj_exposed_flood5_pop
1960,8552eebbfffffff,932.59661528,0.0,1026.0,0.0,0.0,0.0
1961,8552eec3fffffff,5735.212007,0.0,6327.0,0.0,0.0,0.0
1962,8552eec7fffffff,1038.515765055,0.0,1172.0,0.0,0.0,0.0
1963,8552eecbfffffff,2059.0150457,1527.0,2259.0,1527.0,0.0,0.0
1964,8552eecffffffff,1397.5408461,0.0,1432.0,0.0,0.0,0.0
1965,8552eed3fffffff,4377.9011618,0.0,4823.0,0.0,0.0,0.0
1966,8552eed7fffffff,6956.047803984,0.0,7678.0,0.0,0.0,0.0
1967,8552eedbfffffff,5013.279764,3569.0,5534.0,0.0,0.0,3569.0
1968,8552f003fffffff,12555.89330795,14134.0,14134.0,14134.0,14057.0,8711.0
1969,8552f007fffffff,18521.8527232,19203.0,20853.0,6260.0,0.0,18608.0
1970,8552f00bfffffff,10322.387029,12202.0,12202.0,12202.0,9618.0,0.0
1971,8552f00ffffffff,8928.5385012,10382.0,10382.0,10382.0,10382.0,0.0
1972,8552f013fffffff,10164.67276311,11129.0,11129.0,11129.0,11129.0,0.0
1973,8552f017fffffff,15014.985475630001,2656.0,16349.0,2656.0,2633.0,0.0
1974,8552f01bfffffff,4399.5811,5012.0,5012.0,5012.0,3207.0,0.0
1975,8552f023fffffff,55064.3464865,7586.0,65304.0,0.0,0.0,7586.0
1976,8552f027fffffff,133004.403298,70142.0,155398.0,0.0,0.0,70142.0
1977,8552f02bfffffff,13920.132106000001,12913.0,15390.0,0.0,10586.0,8460.0
1978,8552f02ffffffff,45884.380228123,59818.0,60876.0,0.0,27452.0,32366.0
1979,8552f033fffffff,56405.663804,30238.0,63756.0,0.0,28336.0,1902.0
1980,8552f037fffffff,178018.47172,65452.0,193891.0,0.0,0.0,65452.0
1981,8552f03bfffffff,11093.4718023,10680.0,12460.0,5518.0,0.0,10680.0
1982,8552f043fffffff,6.170792856,0.0,6.0,0.0,0.0,0.0
1983,8552f047fffffff,5416.6637891,1571.0,6563.0,1571.0,0.0,0.0
1984,8552f057fffffff,24847.42138,0.0,26581.0,0.0,0.0,0.0
1985,8552f063fffffff,5418.987835,5912.0,5912.0,5912.0,0.0,0.0
1986,8552f067fffffff,3846.7027094,4407.0,4407.0,4407.0,0.0,0.0
1987,8552f06bfffffff,2607.973433,2856.0,2856.0,2856.0,0.0,0.0
1988,8552f06ffffffff,657.67096049,696.0,696.0,696.0,0.0,0.0
1989,8552f073fffffff,2133.987462,2585.0,2585.0,2585.0,2585.0,0.0
1990,8552f077fffffff,5743.94172692,6321.0,6321.0,6321.0,2380.0,0.0
1991,8552f07bfffffff,3337.3522344,3765.0,3765.0,3765.0,0.0,0.0
1992,8552f083fffffff,14717.1252666,17265.0,17265.0,17265.0,2187.0,0.0
1993,8552f087fffffff,101458.38360110001,92244.0,115296.0,0.0,0.0,92244.0
1994,8552f08bfffffff,21705.46519,24374.0,24374.0,24374.0,17423.0,0.0
1995,8552f08ffffffff,41790.1192655,21267.0,45432.0,17744.0,21267.0,0.0
1996,8552f093fffffff,32108.01071951,34927.0,34927.0,34927.0,33045.0,0.0
1997,8552f097fffffff,39160.570771700004,42030.0,42631.0,16259.0,15711.0,25771.0
1998,8552f09bfffffff,20834.9228805,24163.0,24163.0,24163.0,0.0,0.0
1999,8552f0a3fffffff,127275.592414,115210.0,135242.0,0.0,0.0,115210.0
2000,8552f0a7fffffff,478264.62516,61111.0,528808.0,0.0,0.0,61111.0
2001,8552f0abfffffff,84382.9528993,90944.0,91132.0,0.0,30507.0,90944.0
2002,8552f0affffffff,194463.4457554,107240.0,237333.0,0.0,0.0,107240.0
2003,8552f0b3fffffff,152252.84559799999,133096.0,168178.0,0.0,0.0,133096.0
2004,8552f0b7fffffff,227946.90385200002,105438.0,252907.0,0.0,0.0,105438.0
2005,8552f0bbfffffff,59041.077697,0.0,65865.0,0.0,0.0,0.0
2006,8552f0c7fffffff,14980.857693,15936.0,15936.0,15936.0,0.0,0.0
2007,8552f0cffffffff,4060.830654,0.0,4701.0,0.0,0.0,0.0
2008,8552f0d7fffffff,49319.8330819,53726.0,53726.0,53726.0,0.0,0.0
2009,8552f103fffffff,17806.225286,7927.0,18988.0,0.0,0.0,7927.0
2010,8552f107fffffff,15069.6427956,10772.0,16555.0,10772.0,0.0,10772.0
2011,8552f10bfffffff,36381.152927,0.0,40710.0,0.0,0.0,0.0
2012,8552f10ffffffff,13923.690141,8275.0,15225.0,8275.0,0.0,0.0
