,h3_05,geometry,yeeap_number_of_sites,yeeap_distance_to_nearest_site_m
30,85520a6bfffffff,"POLYGON ((45.16759398964701 16.466657232773585, 45.14783027603005 16.380469135619894, 45.21202480676732 16.32641051881021, 45.295920633597504 16.358442385889543, 45.31576416071322 16.44452551625718, 45.25163222715538 16.498681739637068, 45.16759398964701 16.466657232773585))",0.0,49091.243006190925
31,85520a6ffffffff,"POLYGON ((45.31576416071322 16.44452551625718, 45.295920633597504 16.358442385889543, 45.3599113042615 16.30440656351559, 45.443682498984344 16.336356420779076, 45.4636051726601 16.422334221906777, 45.399677684513186 16.476467487133455, 45.31576416071322 16.44452551625718))",0.0,65751.89638932016
32,85520a73fffffff,"POLYGON ((45.227048617748146 16.72546046738684, 45.207203108934564 16.639153293099415, 45.27147680383374 16.58487727121795, 45.35553303907114 16.616811202515798, 45.37545849325086 16.703012971616783, 45.311247947762425 16.757386207122444, 45.227048617748146 16.72546046738684))",0.0,46829.3869933318
33,85520a77fffffff,"POLYGON ((45.37545849325086 16.703012971616783, 45.35553303907114 16.616811202515798, 45.41960180599626 16.56255764949521, 45.50353247146029 16.594408808775537, 45.52353719930895 16.68050480982846, 45.459532168756674 16.73485541097803, 45.37545849325086 16.703012971616783))",0.0,59800.42473112163
34,85520a7bfffffff,"POLYGON ((45.12302207994744 16.607136296812897, 45.10325771772623 16.520835761571927, 45.16759398964701 16.466657232773585, 45.25163222715538 16.498681739637068, 45.27147680383374 16.58487727121795, 45.207203108934564 16.639153293099415, 45.12302207994744 16.607136296812897))",0.0,42993.05688019256
35,85520a83fffffff,"POLYGON ((45.302134645498555 17.385573894934428, 45.28212299638561 17.298931606556863, 45.3466982263404 17.244106494753513, 45.431221036571344 17.27582740127516, 45.451313298731435 17.36236341445528, 45.38680232189728 17.417284787510514, 45.302134645498555 17.385573894934428))",0.0,52876.01920350057
36,85520a87fffffff,"POLYGON ((45.451313298731435 17.36236341445528, 45.431221036571344 17.27582740127516, 45.495588689062686 17.221023580604925, 45.57998394012391 17.252659670660776, 45.60015613119585 17.339089041955106, 45.535853326361966 17.39398895507832, 45.451313298731435 17.36236341445528))",0.0,63699.085979867516
37,85520a8bfffffff,"POLYGON ((45.19747341202378 17.267125569903385, 45.17754380085532 17.18048508707888, 45.2421827019911 17.125756532592252, 45.326687726843 17.15757189579, 45.3466982263404 17.244106494753513, 45.28212299638561 17.298931606556863, 45.19747341202378 17.267125569903385))",0.0,34849.471594611234
38,85520a8ffffffff,"POLYGON ((45.3466982263404 17.244106494753513, 45.326687726843 17.15757189579, 45.39111964778466 17.102864465698158, 45.47549798329766 17.134595234966717, 45.495588689062686 17.221023580604925, 45.431221036571344 17.27582740127516, 45.3466982263404 17.244106494753513))",0.0,46541.55995546312
39,85520a9bfffffff,"POLYGON ((45.152621063101236 17.40871947989764, 45.13269071189659 17.321971288920235, 45.19747341202378 17.267125569903385, 45.28212299638561 17.298931606556863, 45.302134645498555 17.385573894934428, 45.23741559682589 17.44051604166398, 45.152621063101236 17.40871947989764))",0.0,45790.60746851792
40,85520aa3fffffff,"POLYGON ((45.644143918541666 17.197877820686145, 45.623973687830635 17.111556091954895, 45.68799134788111 17.056892938025968, 45.772113979988845 17.088455451238065, 45.792363055122564 17.174670205342466, 45.72841083679428 17.229429409452443, 45.644143918541666 17.197877820686145))",0.0,75804.41055574483
41,85520aa7fffffff,"POLYGON ((45.792363055122564 17.174670205342466, 45.772113979988845 17.088455451238065, 45.835924380459 17.03381544033859, 45.91991802114014 17.065294294346625, 45.940245261029055 17.151401721944445, 45.876500878299055 17.206137609448835, 45.792363055122564 17.174670205342466))",0.0,91474.99289642512
