h3_05,population_score,displacement_score,climate_score,conflict_score,food_nutrition_security_score,access_services_score,economic_activity_score
855258affffffff,0.03530226062982993,0.0007360278783298158,0.665575887,0.3829367488252599,0.04562328,0.6663592920889116,0.644524231290642
855258b3fffffff,0.03530226062982993,0.0007360278783298158,0.665575887,0.3829367488252599,0.04562328,0.6663592920889116,0.644524231290642
855258b7fffffff,0.03765003460705534,0.0006816058361363914,0.6530419088927271,0.2702641777823375,0.05904714741441798,0.6597462566435728,0.4963890336854269
855258bbfffffff,0.03530226062982993,0.0007360278783298158,0.665575887,0.3829367488252599,0.04562328,0.6663592920889116,0.644524231290642
855258c3fffffff,0.09201559329114771,0.0010288255523550728,0.639328853939807,0.38551192933035683,0.08605784943152696,0.7027142875294479,0.8100892126346568
855258c7fffffff,0.1220695167424504,0.0011839869309752458,0.6254198437406429,0.38687658688338145,0.10748521752041293,0.7219797794124095,0.897826558370349
855258cbfffffff,0.14988698728010685,0.0013276020262004164,0.612545868,0.38813969388958525,0.127318075,0.7398116359989919,0.979034958132511
855258cffffffff,0.14988698728010685,0.0013276020262004164,0.612545868,0.38813969388958525,0.127318075,0.7398116359989919,0.979034958132511
855258d3fffffff,0.03573630385787327,0.0004859731495247041,0.6877641693114278,0.3829373726269902,0.0756049195941764,0.7008021955385192,0.7308389665855025
855258d7fffffff,0.03530226062982993,0.0007360278783298158,0.665575887,0.3829367488252599,0.04562328,0.6663592920889116,0.644524231290642
855258dbfffffff,0.13787581633425083,0.0012479054209224624,0.6196741234654426,0.3875929652001185,0.1208345399927637,0.7345070234991041,0.9499321529113801
85525983fffffff,0.04258202346204359,0.0005474212611467261,0.6335551074334687,0.0016538035021831728,0.091246559,0.6897953072240711,0.09998542626606784
85525987fffffff,0.0415615669350652,0.0005421054100438024,0.6489858195220619,0.004066284112764028,0.09124655899999999,0.7567686091249698,0.040065453406856695
8552598bfffffff,0.04328156673328928,0.0005510653829409247,0.622977047,0.0,0.091246559,0.6438837750232758,0.14106176094443212
85525993fffffff,0.04142907062891209,0.000541415198734867,0.6509893466680003,0.0043795211406210495,0.09124655900000002,0.7654644377841513,0.03228543058496414
85525997fffffff,0.041080770081447004,0.0005396008011584473,0.656256132,0.005202945064325354,0.091246559,0.7883236553019215,0.011833643762889916
8552599bfffffff,0.04328156673328928,0.0005510653829409247,0.622977047,0.0,0.091246559,0.6438837750232758,0.14106176094443212
855259c3fffffff,0.04307810500360286,0.0005557816814198896,0.6240632609585393,0.009764379542063368,0.09008322585562026,0.6444568709188936,0.1538993866377773
